id,price,accommodates,bedrooms,number_of_reviews,room_type
1227577617552581352,813.0,4,2.0,62,Entire home/apt
580704761446104772,1235.0,4,2.0,128,Entire home/apt
1262977989091233881,2746.0,8,3.0,54,Entire home/apt
1194492081305546080,3814.0,6,3.0,42,Entire home/apt
782870560945180943,985.0,2,1.0,71,Entire home/apt
22935731,1260.0,4,2.0,148,Entire home/apt
1058617479641678150,968.0,2,1.0,86,Entire home/apt
32421024,1121.0,4,2.0,57,Entire home/apt
18430566,1807.0,5,3.0,66,Entire home/apt
17878555,380.0,1,1.0,4,Private room
28130201,1161.0,4,2.0,151,Entire home/apt
1495336149860070510,4979.0,6,1.0,0,Entire home/apt
576850008966563295,2503.0,4,2.0,156,Entire home/apt
32213663,702.0,3,1.0,274,Entire home/apt
1138837111581603720,1207.0,2,1.0,46,Entire home/apt
47814639,713.0,2,2.0,55,Entire home/apt
1338699709392393604,5490.0,12,5.0,10,Entire home/apt
40086816,770.0,3,1.0,586,Entire home/apt
51045452,1167.0,2,1.0,64,Entire home/apt
1095948478035255449,9161.0,16,6.0,30,Entire home/apt
756097526841733019,1464.0,3,1.0,115,Entire home/apt
760050721916353519,789.0,4,0.0,167,Entire home/apt
1460278662102057334,1287.0,2,0.0,2,Entire home/apt
643635895780054444,1380.0,2,1.0,177,Entire home/apt
9649215,1078.0,2,1.0,167,Entire home/apt
1496828883361178743,628.0,2,1.0,1,Entire home/apt
35256381,1102.0,2,1.0,54,Entire home/apt
15699557,751.0,3,1.0,192,Entire home/apt
768142919066780211,1005.0,2,1.0,230,Entire home/apt
1005031623428419097,1726.0,4,2.0,59,Entire home/apt
1219577585834266156,1098.0,2,1.0,0,Entire home/apt
724802297486500821,3130.0,4,2.0,143,Entire home/apt
51241466,913.0,6,1.0,108,Entire home/apt
1343004072485596415,1440.0,3,1.0,20,Entire home/apt
1226944210962584067,796.0,2,1.0,37,Entire home/apt
1268138452709968978,1303.0,4,2.0,41,Entire home/apt
1487828263283369130,864.0,2,1.0,0,Entire home/apt
1120307173356133458,750.0,1,1.0,4,Private room
998819269108360685,616.0,2,1.0,10,Private room
858628308471225828,1359.0,3,1.0,97,Entire home/apt
47355505,433.0,1,1.0,10,Private room
947454818199689619,888.0,6,2.0,17,Entire home/apt
1440110770826701143,350.0,1,1.0,5,Private room
706857117773600014,1047.0,5,2.0,133,Entire home/apt
586867498149461076,3180.0,6,3.0,60,Entire home/apt
1502425731232111006,1221.0,2,1.0,0,Entire home/apt
29235866,1558.0,4,2.0,153,Entire home/apt
710890586486046147,415.0,2,1.0,155,Entire home/apt
956027302279097421,221.0,1,1.0,3,Private room
555180119451324170,1061.0,3,1.0,91,Entire home/apt
